,hour_,normal_ratio,eld_ratio,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5
0,7,0.9130434782608696,0.08695652173913042,0,16.40936,2.0,6.0,15,0,17.11122222222222,4.0,6.0,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,18,0.8888888888888888,0.1111111111111111,0,5.200333333333334,1.0,2.0,8,0,6.405333333333334,2.0,2.0,6,0.0,6.613833333333335,2.0,2.0,8.0,0.0,5.833333333333332,2.0,2.0,6.0,0.0,5.425,2.0,2.0,3.0
0,12,0.08695652173913042,0.9130434782608696,0,5.155666666666667,1.0,2.0,7,0,3.8333,2.0,2.0,11,0.0,2.8166666666666664,2.0,2.0,7.0,0.0,4.282999999999999,0.0,2.0,6.0,0.0,3.975,0.0,2.0,6.0
0,14,0.4054054054054054,0.5945945945945946,0,11.758,2.0,3.0,5,0,9.911,2.0,3.0,3,0.0,11.8017,2.0,4.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,13,0.375,0.625,0,7.622333333333334,2.0,3.0,5,0,9.45,2.0,2.0,3,0.0,7.365,2.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,18,0.9047619047619048,0.09523809523809523,0,6.227666666666668,2.0,2.0,11,0,5.088666666666667,2.0,2.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,17,0.4375,0.5625,0,13.75,1.0,4.0,5,0,14.742555555555551,2.0,4.0,8,0.0,13.083,1.0,4.0,6.0,0.0,13.2085,2.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,19,0.7142857142857143,0.2142857142857143,0,3.133,0.0,1.0,6,0,5.658,0.0,1.0,3,0.0,4.571285714285714,2.0,1.0,3.0,0.0,4.1,2.0,1.0,4.0,0.0,4.7334999999999985,2.0,1.0,4.0
0,12,0.3333333333333333,0.6666666666666666,0,9.008,0.0,3.0,4,0,8.199833333333332,2.0,4.0,6,0.0,8.305333333333332,0.0,3.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,10,0.6666666666666666,0.3333333333333333,0,20.483,2.0,5.0,4,0,12.13191666666667,2.0,2.0,4,0.0,20.66666666666667,2.0,5.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.8695652173913043,0.1304347826086956,0,26.18322222222222,2.0,7.0,4,0,22.9,2.0,7.0,7,0.0,32.356,2.0,7.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,10,0.6666666666666666,0.3333333333333333,0,4.4,2.0,2.0,6,0,2.917,0.0,1.0,15,0.0,3.0955,2.0,1.0,8.0,0.0,3.4195,2.0,1.0,16.0,0.0,4.5,2.0,2.0,5.0
0,20,0.6666666666666666,0.3333333333333333,0,8.5835,2.0,2.0,7,0,8.5665,1.0,2.0,9,0.0,7.864166666666666,2.0,2.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,21,0.9285714285714286,0.07142857142857142,0,20.70714285714286,2.0,6.0,5,0,21.96116666666667,2.0,6.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,11,0.04,0.96,0,11.12233333333333,0.0,1.0,9,0,11.7133,1.0,1.0,8,0.0,10.9585,0.0,1.0,5.0,0.0,14.367,0.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.5862068965517241,0.4137931034482759,0,7.938199999999998,2.0,2.0,5,0,7.773200000000001,2.0,2.0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,10,0.1764705882352941,0.8235294117647058,0,5.875,0.0,2.0,7,0,5.392,0.0,2.0,6,0.0,6.2665,0.0,2.0,11.0,0.0,3.9085,0.0,2.0,8.0,0.0,4.9632,2.0,2.0,7.0
0,15,0.2195121951219512,0.7804878048780488,0,2.105666666666667,2.0,1.0,5,0,1.494333333333334,1.0,1.0,4,0.0,1.252833333333333,2.0,1.0,6.0,0.0,1.261333333333333,1.2,1.0,5.0,0.0,1.422875,2.0,1.0,8.0
