route_list,hour_,route_id,route_dir,origin_station_name,origin_station_id,destination_station_name,destination_station_id,transfer_time,vehicle_flag_list,cc,avg_time,origin_date,full_price,origin_hour,via_stations,hourly_cnt,normal_cnt,normal_ratio,eld_cnt,eld_ratio,cnt_rnk,od_ratio
292#0,16,292,0,同和站,10000407,同和榕树头站,10009139,0,0,4,3.57925,2022-03-31,2.0,2022-03-31#16,1.0,11,35,0.7954545454545454,9,0.2045454545454546,5,0.1818181818181818
292#0,20,292,0,同和站,10000407,同和榕树头站,10009139,0,0,7,4.700142857142858,2022-03-31,2.0,2022-03-31#20,1.0,6,119,0.9444444444444444,6,0.04761904761904762,4,0.175
9950#0,20,9950,0,同和站,289741,同和榕树头站,10009139,0,0,4,4.0,2022-03-31,1.2,2022-03-31#20,1.0,4,119,0.9444444444444444,6,0.04761904761904762,5,0.1
710#1,20,710,1,同和站,10000409,同和榕树头站,10009139,0,0,8,3.0935,2022-03-31,2.0,2022-03-31#20,1.0,4,119,0.9444444444444444,6,0.04761904761904762,3,0.2
3610#0,20,3610,0,同和站,10000407,同和榕树头站,10009139,0,0,10,3.9233000000000002,2022-03-31,2.0,2022-03-31#20,1.0,5,119,0.9444444444444444,6,0.04761904761904762,2,0.25
716#0,20,716,0,同和站,10000409,同和榕树头站,10009139,0,0,11,3.972636363636364,2022-03-31,2.0,2022-03-31#20,1.0,4,119,0.9444444444444444,6,0.04761904761904762,1,0.275
716#0,20,716,0,同和站,10000409,斯文井站,10009141,0,0,21,6.283238095238095,2022-03-31,2.0,2022-03-31#20,2.0,4,119,0.9596774193548387,5,0.04032258064516129,1,0.3230769230769231
292#0,20,292,0,同和站,10000407,斯文井站,10009141,0,0,13,6.625615384615383,2022-03-31,2.0,2022-03-31#20,2.0,6,119,0.9596774193548387,5,0.04032258064516129,2,0.2
9930#0,20,9930,0,同和站,11124,斯文井站,10009141,0,0,12,5.8334166666666665,2022-03-31,2.0,2022-03-31#20,2.0,2,119,0.9596774193548387,5,0.04032258064516129,3,0.1846153846153846
710#1,20,710,1,同和站,10000409,斯文井站,10009141,0,0,8,4.723,2022-03-31,2.0,2022-03-31#20,2.0,4,119,0.9596774193548387,5,0.04032258064516129,5,0.1230769230769231
3610#0,20,3610,0,同和站,10000407,斯文井站,10009141,0,0,11,6.713545454545454,2022-03-31,2.0,2022-03-31#20,2.0,5,119,0.9596774193548387,5,0.04032258064516129,4,0.1692307692307692
7410#0,10,7410,0,同和站,10011124,犀牛角村总站,10000628,0,0,23,13.70878260869565,2022-03-31,1.0,2022-03-31#10,3.0,10,23,0.696969696969697,10,0.303030303030303,1,1.0
7410#0,08,7410,0,同和站,10011124,白山村广场站,7465,0,0,24,3.6396249999999988,2022-03-31,1.0,2022-03-31#08,1.0,10,111,0.956896551724138,5,0.04310344827586207,1,0.8
5351#1,08,5351,1,同和站,11124,白山村广场站,10007465,0,0,6,2.975,2022-03-31,2.0,2022-03-31#08,1.0,8,111,0.956896551724138,5,0.04310344827586207,2,0.2
5351#0,12,5351,0,同和站,289741,黄庄站,10005370,0,0,1,19.433,2022-03-31,0.0,2022-03-31#12,6.0,4,31,0.8857142857142857,4,0.1142857142857143,3,0.04347826086956522
292#0,12,292,0,同和站,10000407,黄庄站,10005370,0,0,8,14.829,2022-03-31,3.0,2022-03-31#12,7.0,12,31,0.8857142857142857,4,0.1142857142857143,2,0.3478260869565217
